Shop,Date,KPI,Value,MoM_%,YoY_%
Aksarben Village,2021-01-01,appointments_per_hour,,,
Aksarben Village,2021-02-01,appointments_per_hour,,,
Aksarben Village,2021-03-01,appointments_per_hour,,,
Aksarben Village,2021-04-01,appointments_per_hour,0.6073082862,,
Aksarben Village,2021-05-01,appointments_per_hour,0.9059101655,49.168089104857685,
Aksarben Village,2021-06-01,appointments_per_hour,0.9355226272,3.268807750231617,
Aksarben Village,2021-07-01,appointments_per_hour,0.9335219236,-0.21385945586245292,
Aksarben Village,2021-08-01,appointments_per_hour,1.023584906,9.647655842155745,
Aksarben Village,2021-09-01,appointments_per_hour,1.03,0.6267280772114248,
Aksarben Village,2021-10-01,appointments_per_hour,1.13,9.708737864077666,
Aksarben Village,2021-11-01,appointments_per_hour,1.19,5.3097345132743445,
Aksarben Village,2021-12-01,appointments_per_hour,1.27,6.72268907563025,
Aksarben Village,2022-01-01,appointments_per_hour,1.25,-1.5748031496062964,
Aksarben Village,2022-02-01,appointments_per_hour,1.3,4.0000000000000036,
Aksarben Village,2022-03-01,appointments_per_hour,1.24,-4.615384615384621,
Aksarben Village,2022-04-01,appointments_per_hour,1.35,8.870967741935498,122.29237286504193
Aksarben Village,2022-05-01,appointments_per_hour,1.3,-3.703703703703709,43.50208768023809
Aksarben Village,2022-06-01,appointments_per_hour,1.35,3.8461538461538547,44.30436643104212
Aksarben Village,2022-07-01,appointments_per_hour,1.37,1.4814814814814836,46.756060609351515
Aksarben Village,2022-08-01,appointments_per_hour,1.35,-1.4598540145985384,31.889400877898467
Aksarben Village,2022-09-01,appointments_per_hour,1.18,-12.592592592592599,14.563106796116498
Aksarben Village,2022-10-01,appointments_per_hour,1.32,11.86440677966103,16.814159292035423
Aksarben Village,2022-11-01,appointments_per_hour,1.18,-10.60606060606062,-0.8403361344537785
Aksarben Village,2022-12-01,appointments_per_hour,1.21,2.5423728813559254,-4.7244094488189
Aksarben Village,2023-01-01,appointments_per_hour,1.16,-4.132231404958686,-7.200000000000006
